,Unnamed: 0,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
0,0,Tu Hi Hain Aashiqui,"Dishkiyaoon (feat. Palak Muchhal, Gayatri Ganjawala, Sneha Khanwalkar, Altamash Faridi) [Original Motion Picture Soundtrack]",Various Artists,2014-03-12,298053,0,0.484,0.537,0.484,0.5529999999999999,0.0,0.0876,-5.3839999999999995,0.0277,99.585,4,Hip-Hop,Hindi,2014
1,1,Tu Bin Bataye,Rang De Basanti (Original Motion Picture Soundtrack),A.R. Rahman,2005-12-04,357626,43,0.528,0.39899999999999997,0.528,0.42700000000000005,0.0188,0.0931,-10.847999999999999,0.0325,120.07600000000001,4,Hip-Hop,Hindi,2005
2,2,"Ajj Din Chadheya (From ""Love Aaj Kal "")",Love Aaj Kal,Pritam,2009-06-27,315013,44,0.585,0.551,0.585,0.687,6.7e-06,0.121,-4.553,0.0724,85.87100000000001,4,Hip-Hop,Hindi,2009
3,3,"Main Jahaan Rahoon (From ""Namastey London"")",Namastey London,Himesh Reshammiya,2007-01-27,382493,43,0.584,0.36200000000000004,0.584,0.556,2.8999999999999997e-05,0.13,-8.98,0.0514,103.73899999999999,4,Hip-Hop,Hindi,2007
4,4,Kaisa Yeh Junoon,Greatest Collection - Rahat Fateh Ali Khan,Rahat Fateh Ali Khan,2010-03-29,250453,26,0.669,0.655,0.669,0.517,0.0,0.0913,-6.784,0.0277,115.977,4,Hip-Hop,Hindi,2010
5,5,Jab Tak Hai Jaan: The Poem,Jab Tak Hai Jaan,A.R. Rahman,2012-10-09,134560,0,0.546,0.11599999999999999,0.546,0.544,0.0316,0.09699999999999999,-11.72,0.11699999999999999,147.966,3,Hip-Hop,Hindi,2012
6,6,"Aahun Aahun (From ""Love Aaj Kal"")",Love Aaj Kal,Pritam,2009-06-27,290493,42,0.536,0.154,0.536,0.903,4.5e-05,0.064,-5.501,0.307,129.965,4,Hip-Hop,Hindi,2009
7,7,Teri Deewani,Kailasa,Kailasa,2006-02-24,323520,53,0.447,0.324,0.447,0.6,0.0,0.0962,-3.718,0.0332,80.044,3,Hip-Hop,Hindi,2006
8,8,Moula Mere Moula,Sufis At The Cinema - 50 years Of Bollywood Qawwali and Sufi Song 1958 - 2007,Various Artists,2011-03-08,362293,0,0.46299999999999997,0.46,0.46299999999999997,0.562,0.00564,0.0803,-13.208,0.0395,119.935,4,Hip-Hop,Hindi,2011
9,9,Kandhon Se Milte Hain Kandhe,Lakshya (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2004-04-26,340733,46,0.7929999999999999,0.616,0.7929999999999999,0.575,0.0,0.107,-7.3629999999999995,0.0374,112.01100000000001,4,Hip-Hop,Hindi,2004
10,10,"Salaam Aaya (From ""Veer"")",Veer,Sajid-Wajid,2009-12-21,293670,30,0.569,0.535,0.569,0.562,0.0,0.23399999999999999,-7.729,0.0398,141.916,4,Hip-Hop,Hindi,2009
11,11,"Teri Khushboo (From ""Mr. X"") - Male",Arijit Singh: My Favourites,Arijit Singh,2015-09-25,342217,0,0.63,0.762,0.63,0.508,2.16e-06,0.107,-7.294,0.0238,109.891,4,Hip-Hop,Hindi,2015
12,12,"Saanson Ko (From ""Zid"")",Arijit Singh: My Favourites,Arijit Singh,2015-09-25,290346,0,0.636,0.155,0.636,0.745,2.54e-06,0.11599999999999999,-5.4,0.0378,139.986,4,Hip-Hop,Hindi,2015
15,15,Uska Hi Banana,1920 (Evil Returns) [Original Motion Picture Soundtrack],Various Artists,2012-10-10,328360,0,0.563,0.299,0.563,0.682,0.0,0.249,-4.216,0.027000000000000003,101.98100000000001,4,Hip-Hop,Hindi,2012
16,16,Jiya,Gunday (Original Motion Picture Soundtrack),Various Artists,2014-01-07,283351,0,0.475,0.267,0.475,0.645,0.000149,0.0801,-8.039,0.0309,171.933,4,Hip-Hop,Hindi,2014
17,17,Sun Zara - Cover Version,Rehnuma,Sreerama Chandra,2010-10-19,352973,0,0.439,0.67,0.439,0.662,0.0,0.125,-6.974,0.0617,75.229,4,Hip-Hop,Hindi,2010
18,18,"Shukran Allah (From ""Kurbaan"")",Perfect 10: Love Story,Various Artists,2012-01-20,286573,26,0.341,0.731,0.341,0.68,0.0021,0.287,-8.46,0.16899999999999998,81.77199999999999,4,Hip-Hop,Hindi,2012
19,19,Dil Ibaadat,Tum Mile (Original Motion Picture Soundtrack),Pritam,2009-09-08,329386,54,0.59,0.633,0.59,0.8590000000000001,0.0,0.28600000000000003,-5.005,0.0416,149.966,4,Hip-Hop,Hindi,2009
20,20,Tu Hi Haqeeqat,Tum Mile (Original Motion Picture Soundtrack),Pritam,2009-09-08,302026,55,0.705,0.5820000000000001,0.705,0.7440000000000001,0.0,0.2,-5.416,0.0341,115.959,4,Hip-Hop,Hindi,2009
21,21,Haan Tu Hain,Jannat (Original Motion Picture Soundtrack),Pritam,2008-03-07,324880,50,0.415,0.718,0.415,0.904,0.0,0.0739,-3.5860000000000003,0.10400000000000001,83.648,4,Hip-Hop,Hindi,2008
22,22,Rab Ka Shukrana,Jannat 2 (Original Motion Picture Soundtrack),Pritam,2012-03-30,299573,45,0.602,0.615,0.602,0.5589999999999999,0.0,0.131,-6.202999999999999,0.0426,122.01700000000001,4,Hip-Hop,Hindi,2012
