,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
0,Tu Hi Hain Aashiqui,"Dishkiyaoon (feat. Palak Muchhal, Gayatri Ganjawala, Sneha Khanwalkar, Altamash Faridi) [Original Motion Picture Soundtrack]",Various Artists,2014-03-12,298053,0,0.484,0.537,0.484,0.553,0.0,0.0876,-5.384,0.0277,99.585,4,Hip-Hop,Hindi,2014
1,Tu Bin Bataye,Rang De Basanti (Original Motion Picture Soundtrack),A.R. Rahman,2005-12-04,357626,43,0.528,0.399,0.528,0.427,0.0188,0.0931,-10.848,0.0325,120.076,4,Hip-Hop,Hindi,2005
2,"Ajj Din Chadheya (From ""Love Aaj Kal "")",Love Aaj Kal,Pritam,2009-06-27,315013,44,0.585,0.551,0.585,0.687,6.7e-06,0.121,-4.553,0.0724,85.871,4,Hip-Hop,Hindi,2009
3,"Main Jahaan Rahoon (From ""Namastey London"")",Namastey London,Himesh Reshammiya,2007-01-27,382493,43,0.584,0.362,0.584,0.556,2.9e-05,0.13,-8.98,0.0514,103.739,4,Hip-Hop,Hindi,2007
4,Kaisa Yeh Junoon,Greatest Collection - Rahat Fateh Ali Khan,Rahat Fateh Ali Khan,2010-03-29,250453,26,0.669,0.655,0.669,0.517,0.0,0.0913,-6.784,0.0277,115.977,4,Hip-Hop,Hindi,2010
5,Jab Tak Hai Jaan: The Poem,Jab Tak Hai Jaan,A.R. Rahman,2012-10-09,134560,0,0.546,0.116,0.546,0.544,0.0316,0.097,-11.72,0.117,147.966,3,Hip-Hop,Hindi,2012
6,"Aahun Aahun (From ""Love Aaj Kal"")",Love Aaj Kal,Pritam,2009-06-27,290493,42,0.536,0.154,0.536,0.903,4.5e-05,0.064,-5.501,0.307,129.965,4,Hip-Hop,Hindi,2009
7,Teri Deewani,Kailasa,Kailasa,2006-02-24,323520,53,0.447,0.324,0.447,0.6,0.0,0.0962,-3.718,0.0332,80.044,3,Hip-Hop,Hindi,2006
8,Moula Mere Moula,Sufis At The Cinema - 50 years Of Bollywood Qawwali and Sufi Song 1958 - 2007,Various Artists,2011-03-08,362293,0,0.463,0.46,0.463,0.562,0.00564,0.0803,-13.208,0.0395,119.935,4,Hip-Hop,Hindi,2011
9,Kandhon Se Milte Hain Kandhe,Lakshya (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,2004-04-26,340733,46,0.793,0.616,0.793,0.575,0.0,0.107,-7.363,0.0374,112.011,4,Hip-Hop,Hindi,2004
10,"Salaam Aaya (From ""Veer"")",Veer,Sajid-Wajid,2009-12-21,293670,30,0.569,0.535,0.569,0.562,0.0,0.234,-7.729,0.0398,141.916,4,Hip-Hop,Hindi,2009
11,"Teri Khushboo (From ""Mr. X"") - Male",Arijit Singh: My Favourites,Arijit Singh,2015-09-25,342217,0,0.63,0.762,0.63,0.508,2.16e-06,0.107,-7.294,0.0238,109.891,4,Hip-Hop,Hindi,2015
12,"Saanson Ko (From ""Zid"")",Arijit Singh: My Favourites,Arijit Singh,2015-09-25,290346,0,0.636,0.155,0.636,0.745,2.54e-06,0.116,-5.4,0.0378,139.986,4,Hip-Hop,Hindi,2015
13,,,,2015-09-23,310479,0,0.486,0.166,0.486,0.706,0.0,0.268,-5.558,0.0355,135.881,4,Hip-Hop,Hindi,2015
14,,,,2015-09-23,269153,0,0.538,0.864,0.538,0.364,2.4e-05,0.176,-11.534,0.0364,134.883,3,Hip-Hop,Hindi,2015
15,Uska Hi Banana,1920 (Evil Returns) [Original Motion Picture Soundtrack],Various Artists,2012-10-10,328360,0,0.563,0.299,0.563,0.682,0.0,0.249,-4.216,0.027,101.981,4,Hip-Hop,Hindi,2012
16,Jiya,Gunday (Original Motion Picture Soundtrack),Various Artists,2014-01-07,283351,0,0.475,0.267,0.475,0.645,0.000149,0.0801,-8.039,0.0309,171.933,4,Hip-Hop,Hindi,2014
17,Sun Zara - Cover Version,Rehnuma,Sreerama Chandra,2010-10-19,352973,0,0.439,0.67,0.439,0.662,0.0,0.125,-6.974,0.0617,75.229,4,Hip-Hop,Hindi,2010
18,"Shukran Allah (From ""Kurbaan"")",Perfect 10: Love Story,Various Artists,2012-01-20,286573,26,0.341,0.731,0.341,0.68,0.0021,0.287,-8.46,0.169,81.772,4,Hip-Hop,Hindi,2012
