,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
0,POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,2020-07-17,200221,91,0.8,0.057,0.8,0.56,0.0,0.134,-4.818,0.261,163.071,4,Hip-Hop,English,2020
1,THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,165977,91,0.716,0.233,0.716,0.537,0.0,0.157,-7.648,0.0514,129.979,4,Hip-Hop,English,2020
2,Party Girl,Party Girl,StaySolidRocky,2020-04-21,147800,93,0.728,0.749,0.728,0.431,0.0,0.0996,-9.966,0.0622,130.022,4,Hip-Hop,English,2020
3,Mood (feat. Iann Dior),Mood (feat. Iann Dior),24kGoldn,2020-07-24,140525,84,0.7,0.221,0.7,0.722,0.0,0.272,-3.558,0.0369,90.989,4,Hip-Hop,English,2020
4,Stuntin' On You (feat. DaBaby),Stuntin' On You (feat. DaBaby),Tyla Yaweh,2020-07-17,141122,77,0.796,0.0111,0.796,0.683,2.58e-06,0.126,-5.165,0.277,173.852,3,Hip-Hop,English,2020
5,GREECE (feat. Drake),GREECE (feat. Drake),DJ Khaled,2020-07-16,218901,91,0.695,0.0743,0.695,0.343,1.04e-06,0.107,-10.798,0.0432,85.84,4,Hip-Hop,English,2020
6,Rari (feat. Future),Rari (Chapter 1),Octavian,2020-07-27,125512,72,0.574,0.00757,0.574,0.812,0.0,0.15,-4.181,0.396,147.734,4,Hip-Hop,English,2020
7,GO (feat. Juice WRLD),GO (feat. Juice WRLD),The Kid LAROI,2020-06-12,183947,84,0.544,0.185,0.544,0.744,0.0,0.336,-5.007,0.0889,73.699,4,Hip-Hop,English,2020
8,Trillionaire (feat. Youngboy Never Broke Again),High Off Life,Future,2020-05-15,167551,72,0.768,0.237,0.768,0.526,0.0,0.139,-7.182,0.209,139.999,4,Hip-Hop,English,2020
9,Pass It (feat. G-Eazy),Pass It (feat. G-Eazy),MK xyz,2020-07-10,140527,64,0.614,0.0595,0.614,0.707,4.32e-06,0.215,-6.096,0.338,98.383,4,Hip-Hop,English,2020
10,goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,243836,90,0.841,0.0847,0.841,0.728,0.0,0.149,-3.37,0.0484,130.049,4,Hip-Hop,English,2016
11,TKN (feat. Travis Scott),TKN (feat. Travis Scott),ROSALÍA,2020-05-28,129370,92,0.776,0.192,0.776,0.509,1.49e-06,0.115,-6.266,0.467,94.634,4,Hip-Hop,English,2020
12,BAD BOYZ,GLOBAL WARNING,ZaeHD & CEO,2020-06-30,123499,41,0.574,0.672,0.574,0.581,0.0,0.137,-5.857,0.248,169.699,4,Hip-Hop,English,2020
