,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
0,Milestones,Milestones,Miles Davis,1958-04-01,342066,55,0.553,0.442,0.553,0.546,0.000514,0.167,-7.459,0.0341,118.215,4,jazz,English,1958
1,Take Five,Time Out,The Dave Brubeck Quartet,1959-12-14,324133,66,0.454,0.539,0.454,0.26,0.00078,0.0675,-13.193,0.0401,174.322,5,jazz,English,1959
2,Kiss Me In The Morning (feat. Jorja Smith),Kiss Me In The Morning (From The Netflix Original Series),The Eddy,2020-04-30,175373,49,0.642,0.724,0.642,0.318,0.0,0.0854,-10.783,0.0913,128.063,4,jazz,English,2020
3,Monk's Dream - Take 8,Monk's Dream,Thelonious Monk,1963-01-01,385466,50,0.698,0.572,0.698,0.278,0.0233,0.105,-15.425,0.0508,81.079,4,jazz,English,1963
4,Better Git It in Your Soul,Ah Um,Charles Mingus,1959-01-01,440840,51,0.457,0.111,0.457,0.548,0.00016,0.103,-12.486,0.0551,88.8,4,jazz,English,1959
5,So What,Kind Of Blue (Legacy Edition),Miles Davis,1959-08-17,562640,62,0.517,0.705,0.517,0.151,0.00136,0.116,-17.266,0.0373,136.356,4,jazz,English,1959
6,"Take the ""A"" Train",Piano In The Background,Duke Ellington,2004-07-27,331800,54,0.479,0.278,0.479,0.318,0.0959,0.107,-13.836,0.0395,94.036,4,jazz,English,2004
7,Here I'll Stay,Jeru,Gerry Mulligan,1962-01-01,300506,40,0.595,0.864,0.595,0.225,0.0182,0.114,-16.395,0.0409,86.704,4,jazz,English,1962
8,Autumn Leaves,The Legendary Okeh & Epic Sessions,Ahmad Jamal,1951-01-01,159720,17,0.688,0.899,0.688,0.28,0.897,0.099,-16.222,0.0509,143.671,4,jazz,English,1951
9,'Round Midnight,'Round About Midnight,Miles Davis,1957-03-18,355333,56,0.495,0.79,0.495,0.182,0.000368,0.129,-11.116,0.0467,112.89,4,jazz,English,1957
10,Blue Train - Remastered 2003,Blue Train (Expanded Edition),John Coltrane,1958-01-01,644013,58,0.506,0.798,0.506,0.493,0.00355,0.307,-7.759,0.0427,134.77,4,jazz,English,1958
11,"Straight, No Chaser","Straight, No Chaser",Thelonious Monk,1967-01-01,688133,52,0.465,0.41,0.465,0.35,0.279,0.135,-12.977,0.0403,93.336,4,jazz,English,1967
12,Mack the Knife,The Great American Songbook,Louis Armstrong,1929-01-01,201466,51,0.673,0.586,0.673,0.377,0.0,0.332,-14.141,0.0697,88.973,4,jazz,English,1929
