,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
0,Can't Fight This Feeling,Wheels Are Turnin',REO Speedwagon,1984-11-05,294773,74,0.408,0.155,0.408,0.48,1.82e-05,0.0877,-11.017,0.0266,156.344,4,romantic,English,1984
1,Forever Young - 2008 Remaster,The Definitive Rod Stewart,Rod Stewart,2008-11-17,245693,40,0.61,0.206,0.61,0.759,0.00823,0.205,-8.959,0.0296,102.016,4,romantic,English,2008
2,Sweet Dreams (Are Made of This) - Remastered,Sweet Dreams (Are Made Of This),Eurythmics,1983-01-04,216933,81,0.692,0.225,0.692,0.711,0.0,0.12,-7.498,0.0317,125.135,4,romantic,English,1983
3,True Colors,True Colors,Cyndi Lauper,1986-10-14,226066,71,0.386,0.792,0.386,0.145,0.000196,0.1,-16.94,0.0362,171.63,4,romantic,English,1986
4,We Belong,Tropico,Pat Benatar,1984-01-01,221133,67,0.706,0.528,0.706,0.322,2.37e-06,0.576,-14.108,0.0467,135.154,4,romantic,English,1984
5,Total Eclipse of the Heart,The Very Best Of Bonnie Tyler,Bonnie Tyler,1999-02-08,269786,36,0.435,0.195,0.435,0.658,0.0,0.102,-8.179,0.0661,130.276,4,romantic,English,1999
6,Time After Time,She's So Unusual,Cyndi Lauper,1983-01-01,241333,0,0.726,0.487,0.726,0.449,1.34e-06,0.0824,-9.206,0.0286,130.388,4,romantic,English,1983
7,Bleeding Love,Spirit,Leona Lewis,2007-01-01,262664,69,0.635,0.192,0.635,0.647,0.0,0.154,-5.865,0.0351,104.054,4,romantic,English,2007
8,"It Must Have Been Love - From the Film ""Pretty Woman""",A Collection of Roxette Hits! Their 20 Greatest Songs!,Roxette,2006-10-18,258786,62,0.52,0.34,0.52,0.652,5.49e-05,0.256,-6.655,0.0274,80.609,4,romantic,English,2006
9,Heaven,Reckless,Bryan Adams,1984-11-01,243666,0,0.34,0.0596,0.34,0.412,0.0,0.117,-13.727,0.0268,69.857,4,romantic,English,1984
10,(Everything I Do) I Do It For You,Waking Up The Neighbours,Bryan Adams,1991-09-24,394133,65,0.526,0.0775,0.526,0.365,1.35e-05,0.0618,-12.605,0.028,131.253,4,romantic,English,1991
11,I Can't Help Falling In Love With You,The Greatest Love Songs Vol. 1 (Collection),Generation Love,2008-01-01,220666,9,0.47,0.00182,0.47,0.879,0.00306,0.0965,-6.341,0.0375,173.569,4,romantic,English,2008
12,I Will Always Love You,Romantic Music Vol. 1,Romantic Time,2009-01-01,272026,0,0.275,0.49,0.275,0.479,9.37e-05,0.23,-5.199,0.0305,132.362,4,romantic,English,2009
13,When a Man Loves a Woman,The Essential Michael Bolton,Michael Bolton,2006-09-04,230493,55,0.577,0.2,0.577,0.42,0.0,0.0933,-8.22,0.0256,82.317,3,romantic,English,2006
14,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",The Essential Celine Dion,Céline Dion,2008-01-01,245253,0,0.476,0.479,0.476,0.41,5.46e-05,0.141,-9.76,0.0317,77.341,4,romantic,English,2008
15,I Want to Know What Love Is - 2008 Remaster,No End in Sight: The Very Best of Foreigner,Foreigner,2008-07-08,295480,63,0.48,0.17,0.48,0.529,4.27e-06,0.257,-7.825,0.0275,81.527,4,romantic,English,2008
16,Take On Me,Rhino Hi-Five: A-Ha,a-ha,2005-07-19,227146,0,0.42,0.00582,0.42,0.955,0.000511,0.0931,-3.92,0.178,169.209,4,romantic,English,2005
17,The A Team,+,Ed Sheeran,2011-09-09,258373,76,0.642,0.669,0.642,0.289,0.0,0.18,-9.918,0.0367,84.996,4,romantic,English,2011
18,When You Say Nothing at All,Greatest Hits,Keith Whitley,1990-08-07,222493,55,0.673,0.721,0.673,0.346,4.48e-06,0.0475,-12.803,0.0245,80.012,4,romantic,English,1990
19,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Love Me Like You Do (From ""Fifty Shades Of Grey"")",Ellie Goulding,2015-01-07,252538,0,0.245,0.295,0.245,0.611,0.0,0.124,-6.676,0.051,189.194,4,romantic,English,2015
20,Chasing Cars,Chasing Cars,Snow Patrol,2006-01-01,266346,65,0.556,0.214,0.556,0.595,8.33e-05,0.125,-4.51,0.0275,104.001,4,romantic,English,2006
21,Thinking out Loud,x (Deluxe Edition),Ed Sheeran,2014-06-21,281560,83,0.781,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,4,romantic,English,2014
22,Photograph,x (Deluxe Edition),Ed Sheeran,2014-06-21,258986,84,0.614,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,4,romantic,English,2014
23,Stitches,Handwritten,Shawn Mendes,2015-04-14,206880,77,0.746,0.0152,0.746,0.754,0.0,0.0486,-6.684,0.0676,149.882,4,romantic,English,2015
24,Like I'm Gonna Lose You (feat. John Legend),Title (Deluxe),Meghan Trainor,2015-01-09,225053,79,0.63,0.4,0.63,0.53,0.0,0.177,-7.259,0.0434,108.038,3,romantic,English,2015
25,Beautiful Soul,Beautiful Soul,Jesse McCartney,2004-01-01,214226,73,0.66,0.0759,0.66,0.666,0.0,0.0268,-4.342,0.0472,89.975,4,romantic,English,2004
26,Beautiful,Stripped,Christina Aguilera,2002-07-19,238560,72,0.456,0.578,0.456,0.573,3.05e-06,0.114,-3.866,0.0275,76.19,4,romantic,English,2002
27,"Endless Love - From ""The Endless Love"" Soundtrack",To Love Again (Expanded Edition),Diana Ross,1981-02-17,265986,0,0.21,0.657,0.21,0.336,0.000129,0.134,-9.28,0.0292,186.773,4,romantic,English,1981
28,Eternal Flame,The Essential Bangles,The Bangles,2004-01-01,238026,70,0.526,0.525,0.526,0.358,0.0,0.0942,-7.239,0.0243,78.988,3,romantic,English,2004
29,Take My Breath Away,Count Three & Pray,Berlin,1986-01-01,252000,0,0.474,0.218,0.474,0.583,0.0,0.521,-13.147,0.0271,96.144,4,romantic,English,1986
30,Up Where We Belong,The Best of Joe Cocker,Joe Cocker,1993-03-01,233240,46,0.573,0.597,0.573,0.429,8.18e-05,0.0839,-8.68,0.0294,139.097,4,romantic,English,1993
31,Greatest Love of All,Whitney Houston,Whitney Houston,1985-02-14,291400,68,0.502,0.484,0.502,0.305,3.55e-06,0.117,-16.011,0.0339,131.242,4,romantic,English,1985
32,If You Leave Me Now,Chicago X,Chicago,1976-06-14,235373,75,0.429,0.0193,0.429,0.564,0.000828,0.128,-6.784,0.0268,104.212,4,romantic,English,1976
33,Careless Whisper,Ladies And Gentlemen... The Best Of George Michael,George Michael,1998-11-09,300106,76,0.574,0.128,0.574,0.629,0.0,0.271,-8.815,0.0363,153.119,4,romantic,English,1998
