,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
0,All I Want,In A Perfect World (Deluxe),Kodaline,2013-06-14,305746,44,0.209,0.172,0.209,0.412,0.15,0.0843,-9.733,0.0443,86.26,3,sad,English,2013
1,idontwannabeyouanymore,dont smile at me,Billie Eilish,2017-12-22,203569,82,0.483,0.737,0.483,0.412,0.0,0.116,-8.461,0.0402,170.163,3,sad,English,2017
2,If the World Was Ending - feat. Julia Michaels,If the World Was Ending (feat. Julia Michaels),JP Saxe,2019-10-17,208687,87,0.464,0.866,0.464,0.473,0.0,0.109,-10.086,0.129,75.801,4,sad,English,2019
3,Can I Be Him,Back from the Edge,James Arthur,2016-10-28,246880,78,0.696,0.308,0.696,0.543,0.0,0.0939,-6.164,0.0489,107.969,4,sad,English,2016
4,Already Gone,"Covers, Vol. 2",Sleeping At Last,2016-11-04,243007,74,0.418,0.954,0.418,0.248,4.21e-06,0.108,-9.997,0.0451,130.953,4,sad,English,2016
5,Miles Apart,Miles Apart,Nick Wilson,2017-08-25,224721,58,0.27,0.829,0.27,0.251,8.41e-05,0.0613,-12.558,0.0393,177.19,1,sad,English,2017
6,If You Want Love,Perception,NF,2017-10-06,199386,79,0.551,0.659,0.551,0.386,0.0,0.125,-10.22,0.132,116.409,1,sad,English,2017
7,One Day,One Day,Tate McRae,2017-12-24,202496,76,0.52,0.922,0.52,0.119,0.0,0.0883,-12.148,0.0407,69.217,4,sad,English,2017
8,Happier,÷ (Deluxe),Ed Sheeran,2017-03-03,207520,82,0.522,0.536,0.522,0.385,0.0,0.135,-7.355,0.0288,89.792,4,sad,English,2017
9,Skinny Love,Birdy,Birdy,2011-11-04,201080,75,0.379,0.952,0.379,0.29,0.00106,0.118,-8.485,0.051,166.467,4,sad,English,2011
10,Give Me Love,+,Ed Sheeran,2011-09-09,526386,73,0.526,0.694,0.526,0.328,0.0,0.112,-9.864,0.0461,116.068,4,sad,English,2011
11,Be Alright,Be Alright,Dean Lewis,2018-06-29,196373,82,0.553,0.697,0.553,0.586,0.0,0.0813,-6.319,0.0362,126.684,4,sad,English,2018
12,Hold On,Hold On,Chord Overstreet,2017-02-03,198853,81,0.618,0.469,0.618,0.443,0.0,0.0829,-9.681,0.0526,119.949,4,sad,English,2017
13,You Are The Reason,Only Human (Deluxe),Calum Scott,2018-03-09,204326,83,0.331,0.918,0.331,0.235,0.0,0.137,-7.7,0.0299,171.232,3,sad,English,2018
14,Too Good At Goodbyes,The Thrill Of It All (Special Edition),Sam Smith,2017-11-03,201000,75,0.681,0.64,0.681,0.372,0.0,0.169,-8.237,0.0432,91.873,4,sad,English,2017
15,Fuck Love (feat. Trippie Redd),17,XXXTENTACION,2017-08-25,146520,84,0.797,0.0172,0.797,0.533,0.000152,0.103,-9.74,0.0412,131.036,4,sad,English,2017
16,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,291796,83,0.421,0.952,0.421,0.131,0.00453,0.109,-18.435,0.0382,137.446,4,sad,English,2019
17,Ophelia,Cleopatra,The Lumineers,2016-04-08,160097,76,0.664,0.613,0.664,0.573,0.000363,0.0857,-6.519,0.0277,76.023,4,sad,English,2016
18,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,2018-10-08,179080,85,0.498,0.72,0.498,0.235,0.0,0.144,-16.541,0.188,118.917,4,sad,English,2018
19,All the Time,Boy Gone Wild,YOUNGDIVY,2020-06-07,161454,31,0.678,0.687,0.678,0.513,0.0,0.102,-9.753,0.0275,109.924,4,sad,English,2020
20,Out Of Love,The Pains Of Growing,Alessia Cara,2018-11-30,227693,80,0.481,0.8,0.481,0.267,0.0,0.249,-9.249,0.0339,117.64,3,sad,English,2018
21,The Night We Met,Strange Trails,Lord Huron,2015-04-06,208211,16,0.443,0.969,0.443,0.369,0.277,0.638,-9.514,0.0441,174.107,3,sad,English,2015
22,I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,223346,83,0.556,0.0689,0.556,0.538,0.0,0.196,-5.408,0.0382,143.95,4,sad,English,2016
23,you were good to me,brent,Jeremy Zucker,2019-05-03,219146,76,0.561,0.913,0.561,0.0848,2.62e-05,0.112,-15.099,0.0404,102.128,4,sad,English,2019
24,Dancing On My Own,Only Human (Deluxe),Calum Scott,2018-03-09,260285,82,0.682,0.839,0.682,0.173,3.26e-05,0.0983,-8.749,0.0314,112.663,4,sad,English,2018
25,It's You,YOU,Ali Gatie,2019-11-08,212606,85,0.732,0.374,0.732,0.463,0.0,0.194,-6.972,0.0287,95.971,4,sad,English,2019
26,Jealous,Jealous,Labrinth,2014-11-21,287693,79,0.435,0.873,0.435,0.155,0.0,0.107,-8.948,0.046,128.532,3,sad,English,2014
27,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,220492,84,0.736,0.946,0.736,0.308,0.0,0.186,-7.83,0.0677,111.202,4,sad,English,2019
28,Say You Won't Let Go,Back from the Edge,James Arthur,2016-10-28,211466,85,0.358,0.695,0.358,0.557,0.0,0.0902,-7.398,0.059,85.043,4,sad,English,2016
29,Supermarket Flowers,÷ (Deluxe),Ed Sheeran,2017-03-03,221106,78,0.589,0.914,0.589,0.242,0.0,0.0887,-10.517,0.0442,89.749,4,sad,English,2017
30,This City,This City,Sam Fischer,2019-12-11,194853,85,0.602,0.731,0.602,0.377,0.0,0.0808,-6.213,0.0446,73.877,4,sad,English,2019
31,July,July,Noah Cyrus,2019-07-31,156106,55,0.708,0.868,0.708,0.186,0.0,0.0779,-8.953,0.0422,72.541,4,sad,English,2019
32,When You Love Someone,Chapters,James TW,2019-04-26,216560,77,0.681,0.263,0.681,0.453,0.0,0.0543,-6.09,0.0278,125.772,4,sad,English,2019
33,"All I Want - From ""High School Musical: The Musical: The Series""","All I Want (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,2019-11-27,177322,78,0.376,0.0902,0.376,0.43,0.0,0.0912,-6.585,0.0328,77.599,3,sad,English,2019
34,scared,brent,Jeremy Zucker,2019-05-03,207520,73,0.583,0.933,0.583,0.075,1.4e-06,0.111,-15.843,0.0726,108.418,4,sad,English,2019
35,Falling Like The Stars,YOU,James Arthur,2019-10-18,211653,75,0.3,0.79,0.3,0.347,2.14e-06,0.111,-9.542,0.0364,169.361,3,sad,English,2019
36,better off,glisten,Jeremy Zucker,2018-05-04,193946,72,0.708,0.747,0.708,0.322,9.24e-05,0.137,-12.46,0.0371,98.892,4,sad,English,2018
37,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,89,0.351,0.934,0.351,0.296,0.0,0.095,-10.109,0.0333,115.284,4,sad,English,2018
38,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,215106,85,0.459,0.604,0.459,0.575,0.0,0.0885,-4.858,0.0573,111.881,4,sad,English,2019
39,Touch,Atlas: II,Sleeping At Last,2019-11-01,256299,73,0.415,0.955,0.415,0.104,3.79e-06,0.104,-11.83,0.0426,82.006,3,sad,English,2019
40,comethru,comethru,Jeremy Zucker,2018-09-07,181520,0,0.798,0.603,0.798,0.175,0.0,0.625,-12.603,0.0594,93.994,4,sad,English,2018
41,Coaster,American Teen,Khalid,2017-04-27,199120,77,0.441,0.935,0.441,0.219,0.0,0.115,-14.586,0.0419,94.021,4,sad,English,2017
42,Six Feet Under,Six Feet Under,Billie Eilish,2016-11-17,189613,77,0.576,0.807,0.576,0.307,0.000355,0.0792,-12.732,0.0428,67.513,4,sad,English,2016
43,Can We Kiss Forever?,Can We Kiss Forever?,Kina,2018-08-31,187931,84,0.522,0.894,0.522,0.128,0.026,0.0941,-18.717,0.0357,109.986,4,sad,English,2018
44,Lost On You,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,197178,66,0.555,0.889,0.555,0.282,0.0,0.0927,-8.228,0.0612,125.522,4,sad,English,2019
45,changes,?,XXXTENTACION,2018-03-16,121886,85,0.669,0.883,0.669,0.308,0.0,0.0984,-10.068,0.029,64.934,4,sad,English,2018
46,When We Were Young,25,Adele,2016-06-24,290906,73,0.381,0.348,0.381,0.594,0.0,0.0925,-5.97,0.0486,143.86,4,sad,English,2016
47,Naked,YOU,James Arthur,2019-10-18,233400,71,0.527,0.084,0.527,0.61,0.0,0.0572,-6.793,0.0405,102.012,4,sad,English,2019
48,Unsteady,VHS,X Ambassadors,2015-06-30,193546,77,0.389,0.178,0.389,0.665,0.000732,0.116,-6.169,0.0644,117.055,4,sad,English,2015
49,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,91,0.501,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,4,sad,English,2019
50,Happiest Year,Happiest Year,Jaymes Young,2019-07-12,228442,80,0.501,0.885,0.501,0.167,0.0,0.111,-14.061,0.0484,112.275,3,sad,English,2019
51,Before I Leave (Stripped),Before I Leave (Stripped),Debanny Banda,2020-04-08,223346,36,0.403,0.944,0.403,0.0703,0.0,0.0973,-17.107,0.0394,139.26,4,sad,English,2020
52,Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,205686,82,0.688,0.443,0.688,0.53,0.0,0.0995,-5.507,0.0333,106.958,4,sad,English,2019
53,One,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,180173,55,0.691,0.82,0.691,0.352,0.0,0.145,-7.136,0.0428,118.102,4,sad,English,2019
54,the remedy for a broken heart (why am I so in love),?,XXXTENTACION,2018-03-16,160184,83,0.699,0.779,0.699,0.304,0.000993,0.137,-11.192,0.0993,119.705,4,sad,English,2018
55,Losing Interest,Missing,itssvd,2017-02-12,120546,72,0.753,0.48,0.753,0.355,0.865,0.122,-13.295,0.0898,111.863,4,sad,English,2017
56,Half A Man,A Place We Knew,Dean Lewis,2019-03-22,179120,76,0.507,0.855,0.507,0.204,0.0,0.143,-11.575,0.0504,77.765,4,sad,English,2019
57,Hard Sometimes,Free Time,Ruel,2019-09-13,269493,73,0.407,0.845,0.407,0.317,2.66e-06,0.139,-7.895,0.0429,81.899,4,sad,English,2019
58,Teenage Mind,Teenage Mind,Tate McRae,2018-08-17,155205,73,0.671,0.75,0.671,0.337,1.38e-06,0.11,-9.762,0.0605,119.716,4,sad,English,2018
59,Find You - EVC Remix,Find You (EVC Remix),AK2,2020-06-27,194072,31,0.547,0.0309,0.547,0.76,0.154,0.19,-4.922,0.0389,128.024,4,sad,English,2020
60,Memories - Extended Version,Memories (Extended Version),AK2,2020-07-11,224550,29,0.65,0.000562,0.65,0.81,0.00618,0.131,-4.477,0.046,128.025,4,sad,English,2020
61,Moral of the Story,Moral of the Story,Ashe,2019-02-14,201083,82,0.572,0.587,0.572,0.406,4.48e-06,0.102,-8.624,0.0427,119.812,4,sad,English,2019
62,Forever,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,210863,74,0.646,0.873,0.646,0.355,0.0,0.115,-7.119,0.0263,84.988,4,sad,English,2019
63,Falling,Fine Line,Harry Styles,2019-12-13,240133,87,0.567,0.839,0.567,0.267,1.46e-06,0.089,-6.502,0.0299,110.011,4,sad,English,2019
64,Waves,A Place We Knew,Dean Lewis,2019-03-22,240013,77,0.518,0.183,0.518,0.729,0.0,0.0643,-7.193,0.0452,156.879,4,sad,English,2019
65,That's Us,Songs I Wrote in My Bedroom,Anson Seabra,2020-05-08,270461,68,0.621,0.969,0.621,0.115,6.34e-06,0.175,-15.097,0.0513,129.689,4,sad,English,2020
66,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,89,0.704,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,120.006,4,sad,English,2019
67,"Fire On Fire - From ""Watership Down""","Fire On Fire (From ""Watership Down"")",Sam Smith,2018-12-21,246735,79,0.584,0.476,0.584,0.407,0.0,0.18,-7.356,0.046,115.124,4,sad,English,2018
68,listen before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,242652,79,0.319,0.935,0.319,0.0561,0.00384,0.388,-23.023,0.045,79.764,3,sad,English,2019
69,Grace,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,185657,72,0.722,0.435,0.722,0.565,0.0,0.165,-5.848,0.0335,104.483,4,sad,English,2019
70,all the kids are depressed,glisten,Jeremy Zucker,2018-05-04,169973,80,0.773,0.836,0.773,0.437,2.42e-05,0.544,-8.281,0.0963,103.861,4,sad,English,2018
71,Lost Without You,Freya Ridings,Freya Ridings,2019-07-19,225853,71,0.386,0.932,0.386,0.136,0.0,0.0653,-9.267,0.0458,67.016,3,sad,English,2019
72,You Said You'd Grow Old With Me,Wide Awake,Michael Schulte,2012-09-28,224743,71,0.531,0.905,0.531,0.347,0.0,0.0935,-7.044,0.0345,114.441,4,sad,English,2012
73,I Lost a Friend,I Lost a Friend,FINNEAS,2019-05-03,237020,72,0.453,0.587,0.453,0.209,0.0,0.119,-11.917,0.223,169.316,4,sad,English,2019
74,Lonely,THE END OF EVERYTHING,Noah Cyrus,2020-05-15,144377,75,0.53,0.798,0.53,0.281,0.0,0.0928,-8.274,0.0577,122.442,4,sad,English,2020
75,that way,all the things i never said,Tate McRae,2020-01-24,175026,74,0.445,0.728,0.445,0.383,0.0,0.387,-11.015,0.166,102.059,4,sad,English,2020
76,Malibu Nights,Malibu Nights,LANY,2018-10-05,286928,77,0.559,0.701,0.559,0.422,1.99e-06,0.0853,-11.89,0.195,74.002,4,sad,English,2018
77,Don't Youse Me,Don't Youse Me,T!ll,2020-04-12,213159,33,0.906,0.48,0.906,0.217,1.07e-06,0.2,-18.703,0.315,109.934,4,sad,English,2020
78,Go Back in Time,Go Back in Time,Bazes,2020-05-04,168000,32,0.868,0.48,0.868,0.634,0.0,0.163,-7.815,0.229,119.757,4,sad,English,2020
79,Alright Bitch,Boy Gone Wild,YOUNGDIVY,2020-06-07,117446,30,0.822,0.455,0.822,0.839,4.92e-06,0.0926,-6.497,0.0456,94.012,4,sad,English,2020
80,Mercedes Benz,Boy Gone Wild,YOUNGDIVY,2020-06-07,121000,30,0.764,0.068,0.764,0.624,0.0,0.128,-10.439,0.0436,119.986,4,sad,English,2020
81,You Are Meant to Be,Boy Gone Wild,YOUNGDIVY,2020-06-07,120000,31,0.364,0.276,0.364,0.747,2.77e-06,0.128,-7.395,0.0925,74.871,4,sad,English,2020
82,Lose You To Love Me,Rare,Selena Gomez,2020-01-10,206458,84,0.488,0.556,0.488,0.343,0.0,0.21,-8.985,0.0436,102.819,4,sad,English,2020
83,7 Minutes,A Place We Knew,Dean Lewis,2019-03-22,211453,66,0.613,0.526,0.613,0.739,0.0,0.149,-6.478,0.0311,104.966,4,sad,English,2019
84,The Story Never Ends,I met you when I was 18. (the playlist),Lauv,2018-05-31,229029,70,0.614,0.911,0.614,0.126,0.0,0.148,-9.403,0.0376,119.945,4,sad,English,2018
85,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,196077,87,0.367,0.978,0.367,0.111,3.97e-05,0.0897,-14.084,0.0972,82.642,4,sad,English,2019
86,The Conversation,The Conversation,James Walker,2020-05-29,209278,43,0.441,0.522,0.441,0.359,0.0,0.128,-12.401,0.0486,139.992,4,sad,English,2020
87,Weathered,English Bones,James Walker,2017-10-27,272527,43,0.284,0.698,0.284,0.245,0.0,0.344,-12.076,0.0426,81.718,4,sad,English,2017
88,Lullaby,English Bones,James Walker,2017-10-27,241728,32,0.443,0.672,0.443,0.224,0.0,0.0921,-10.753,0.0399,78.75,4,sad,English,2017
