,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Genre/Mood,Language,release_year
0,Bailando - Spanish Version,SEX AND LOVE (Deluxe),Enrique Iglesias,2014-01-01,243413,69,0.723,0.0426,0.723,0.777,3.68e-06,0.0451,-3.503,0.108,91.017,4,Hip-Hop,Spanish,2014
1,Propuesta Indecente,"Fórmula, Vol. 2 (Deluxe Edition)",Romeo Santos,2014-02-25,235133,76,0.757,0.499,0.757,0.632,0.0,0.0723,-6.83,0.0549,122.936,4,Hip-Hop,Spanish,2014
2,Vivir Mi Vida,3.0,Marc Anthony,2013-07-23,252346,76,0.655,0.344,0.655,0.877,0.0,0.349,-3.23,0.0344,105.017,4,Hip-Hop,Spanish,2013
3,Darte un Beso,Soy el Mismo,Prince Royce,2013-10-08,206933,71,0.757,0.36,0.757,0.711,0.0,0.121,-4.643,0.0349,139.962,4,Hip-Hop,Spanish,2013
4,Back It Up (feat. Pitbull),Back It Up (feat. Pitbull),Prince Royce,2015-05-04,200935,49,0.736,0.0895,0.736,0.743,0.0,0.0482,-7.437,0.0758,104.078,4,Hip-Hop,Spanish,2015
5,Adrenalina (feat. Jennifer Lopez & Ricky Martin),El Regreso del Sobreviviente (Deluxe Edition),Wisin,2014-03-18,235546,66,0.685,0.0856,0.685,0.944,0.0,0.0927,-2.793,0.145,124.987,4,Hip-Hop,Spanish,2014
6,Cuando Me Enamoro,Euphoria (Standard US/Latin version),Enrique Iglesias,2010-01-01,200346,66,0.821,0.0104,0.821,0.819,5.49e-05,0.145,-3.627,0.0272,126.03,4,Hip-Hop,Spanish,2010
7,El Perdedor,SEX AND LOVE,Enrique Iglesias,2014-05-06,191426,39,0.49,0.706,0.49,0.477,0.0,0.112,-5.787,0.049,137.879,4,Hip-Hop,Spanish,2014
8,I'm A Freak,SEX AND LOVE,Enrique Iglesias,2014-05-06,219346,34,0.711,0.034,0.711,0.805,0.0,0.124,-3.348,0.0602,127.946,4,Hip-Hop,Spanish,2014
9,There Goes My Baby,SEX AND LOVE,Enrique Iglesias,2014-05-06,198440,31,0.787,0.094,0.787,0.8,0.0,0.0723,-3.201,0.036,104.024,4,Hip-Hop,Spanish,2014
10,La Mordidita (feat. Yotuel),A Quien Quiera Escuchar (Deluxe Edition),Ricky Martin,2015-02-10,211680,70,0.725,0.0344,0.725,0.903,0.0,0.183,-2.955,0.0658,142.006,4,Hip-Hop,Spanish,2015
11,La Malquerida,La Malquerida,Cristian Castro,2014-07-08,178613,56,0.484,0.466,0.484,0.629,0.0,0.116,-4.852,0.0385,137.311,3,Hip-Hop,Spanish,2014
12,Mi Corazón Es Tuyo,Mi Corazón Es Tuyo,Axel,2014-07-15,182720,0,0.543,0.0549,0.543,0.68,0.0,0.0897,-5.01,0.0464,159.991,4,Hip-Hop,Spanish,2014
